ID,Urbanizacion,Manzana,Lote,Estado,Cuota
35-6-9,35,6,9,Vendido,"420,000"
35-7-3,35,7,3,Vendido,"330,000"
35-7-4,35,7,4,Vendido,"330,000"
35-7-5,35,7,5,Vendido,"350,000"
35-7-6,35,7,6,Vendido,"300,000"
35-8-1,35,8,1,Vendido,"330,000"
35-8-2,35,8,2,Vendido,"330,000"
35-8-3,35,8,3,Vendido,"300,000"
35-8-4,35,8,4,Vendido,"310,000"
35-8-5,35,8,5,Vendido,"310,000"
35-8-6,35,8,6,Vendido,"330,000"
35-8-7,35,8,7,Vendido,"310,000"
35-8-8,35,8,8,Vendido,"310,000"
35-8-9,35,8,9,Vendido,"280,000"
35-8-10,35,8,10,Vendido,"400,000"
35-9-1,35,9,1,Vendido,"330,000"
35-9-2,35,9,2,Vendido,"340,000"
35-9-3,35,9,3,Vendido,"350,000"
35-9-4,35,9,4,Vendido,"330,000"
35-9-5,35,9,5,Vendido,"330,000"
35-9-6,35,9,6,Vendido,"350,000"
35-9-7,35,9,7,Vendido,"350,000"
35-9-8,35,9,8,Vendido,"350,000"
35-9-9,35,9,9,Vendido,"480,000"
35-9-10,35,9,10,Vendido,"330,000"
35-9-11,35,9,11,Vendido,"380,000"
35-9-12,35,9,12,Vendido,"340,000"
35-9-13,35,9,13,Vendido,"330,000"
36-10-4,36,10,4,Cancelado,"340,000"
36-13-4,36,13,4,Cancelado,"380,000"
36-14-2,36,14,2,Cancelado,"1,150,000"
36-16-5,36,16,5,Reserva de Propietario,"600,000"
36-16-9,36,16,9,Reserva de Propietario,"600,000"
36-17-1,36,17,1,Reserva de Propietario,"720,000"
36-17-2,36,17,2,Reserva de Propietario,"660,000"
36-17-9,36,17,9,Reserva de Propietario,"660,000"
36-17-10,36,17,10,Reserva de Propietario,"660,000"
36-18-1,36,18,1,Reserva de Propietario,"650,000"
36-18-2,36,18,2,Reserva de Propietario,"720,000"
36-18-3,36,18,3,Reserva de Propietario,"720,000"
36-18-6,36,18,6,Reserva de Propietario,"700,000"
36-10-1,36,10,1,Vendido,"340,000"
36-10-2,36,10,2,Vendido,"330,000"
36-10-3,36,10,3,Vendido,"350,000"
36-10-5,36,10,5,Vendido,"330,000"
36-10-6,36,10,6,Vendido,"330,000"
36-10-7,36,10,7,Vendido,"330,000"
36-10-8,36,10,8,Vendido,"330,000"
36-10-9,36,10,9,Vendido,"330,000"
36-10-10,36,10,10,Vendido,"330,000"
36-10-11,36,10,11,Vendido,"330,000"
36-10-12,36,10,12,Vendido,"360,000"
36-10-13,36,10,13,Vendido,"330,000"
36-11-1,36,11,1,Vendido,"330,000"
36-11-2,36,11,2,Vendido,"330,000"
36-11-3,36,11,3,Vendido,"350,000"
36-11-4,36,11,4,Vendido,"280,000"
36-11-5,36,11,5,Vendido,"250,000"
36-11-6,36,11,6,Vendido,"250,000"
36-11-7,36,11,7,Vendido,"280,000"
36-11-8,36,11,8,Vendido,"280,000"
